Name, Phone, Email, Address, Date, Time,Food Quality,Staff Friendliness,Cleanliness,Order Accuracy,Resturant Ambiance,Value for Money,Popularity,SimplicityAddCriteria,
Sushil,9827124921,sushil@gmail.com,Pokhara-27,1/24/2021,12:02 PM,5,4,3,1,3,4,5,4 ,
Awtish,9856039932,awtish@gmail.com,Pokhara-28,1/24/2021,12:03 PM,5,4,3,4,3,1,3,4 ,
Max,9854222032,max@gmail.com,Pokhara-32,1/24/2021,12:05 PM,3,4,3,1,4,5,4,3 ,
Bikram,9856079965,bikram@gmail.com,Pokhara-30,1/24/2021,12:07 PM,3,4,5,3,4,5,3,4 ,
Ram,9856000011,ram@gmail.com,Pokhara-01,1/24/2021,12:15 PM,1,4,3,5,4,3,4,3 ,
Srijana,9843211234,srijana@gmail.com,Pokhara-12,1/24/2021,12:19 PM,5,3,4,5,1,4,3,4 ,
Sita,9842210233,sita@gmail.com,Pokhara-23,1/24/2021,12:25 PM,5,4,4,3,1,4,3,4 ,
Ram,9856033433,ram@gmail.com,Pokhara-21,2/13/2021,8:27 AM,5,3,4,5,3,4,4,5 ,
Shyam,9856066766,shyam@gmail.com,Pokhara-01,2/13/2021,8:31 AM,4,3,1,4,5,4,3,4 ,
Hari Shrestha,9856077977,hari@gmail.com,Pokhara-10,2/13/2021,8:38 AM,5,4,4,3,3,1,3,5 ,
Gita,9846055455,gita@gmail.com,Pokhara-13,2/13/2021,8:45 AM,5,4,4,3,3,4,4,5 ,
Nitesh Gurung,9856043212,nitesh@gmail.com,Pokhara-29,2/13/2021,8:52 AM,5,4,5,3,4,3,5,3 ,
